202 250
201 1 0
1 131 -2452
201 2 0
201 3 0
3 175 -7477
3 131 -4511
3 147 -4412
201 4 0
201 5 0
5 105 -7588
201 6 0
201 7 0
7 182 -3609
201 8 0
201 9 0
201 10 0
201 11 0
11 152 -9321
201 12 0
201 13 0
201 14 0
201 15 0
15 198 -9644
15 195 -3669
201 16 0
201 17 0
201 18 0
201 19 0
19 157 -3159
201 20 0
20 156 -2429
201 21 0
201 22 0
201 23 0
201 24 0
24 140 -6956
201 25 0
25 191 -6783
201 26 0
26 161 -4196
201 27 0
201 28 0
201 29 0
29 134 -287
201 30 0
30 120 -828
201 31 0
201 32 0
32 163 -2761
32 199 -1948
201 33 0
33 109 -308
201 34 0
34 197 -3906
201 35 0
35 188 -7958
201 36 0
201 37 0
37 164 -3317
201 38 0
38 125 -3882
201 39 0
201 40 0
201 41 0
201 42 0
201 43 0
43 114 -8597
201 44 0
44 151 -8953
44 183 -3474
201 45 0
201 46 0
201 47 0
201 48 0
201 49 0
201 50 0
50 120 -6210
201 51 0
201 52 0
52 190 -2956
52 146 -1850
201 53 0
201 54 0
201 55 0
201 56 0
56 181 -1309
201 57 0
57 105 -696
57 157 -2009
201 58 0
201 59 0
201 60 0
60 192 -2369
201 61 0
61 117 -6818
61 127 -4873
201 62 0
201 63 0
63 138 -5414
201 64 0
201 65 0
201 66 0
201 67 0
201 68 0
201 69 0
201 70 0
201 71 0
71 118 -4931
201 72 0
201 73 0
201 74 0
201 75 0
75 168 -9231
201 76 0
201 77 0
77 167 -412
201 78 0
201 79 0
201 80 0
80 179 -9640
201 81 0
81 104 -9602
201 82 0
201 83 0
201 84 0
84 179 -5454
201 85 0
201 86 0
201 87 0
87 159 -8002
201 88 0
201 89 0
89 154 -852
89 194 -4736
89 200 -4412
201 90 0
201 91 0
91 161 -4968
201 92 0
201 93 0
201 94 0
201 95 0
201 96 0
201 97 0
97 144 -8966
201 98 0
98 183 -3243
98 174 -6087
201 99 0
201 100 0
201 101 0
201 102 0
201 103 0
104 202 0
105 202 0
201 106 0
201 107 0
201 108 0
109 202 0
201 110 0
201 111 0
201 112 0
201 113 0
114 202 0
201 115 0
201 116 0
117 202 0
118 202 0
201 119 0
120 202 0
201 121 0
201 122 0
201 123 0
201 124 0
125 202 0
201 126 0
127 202 0
201 128 0
201 129 0
201 130 0
131 202 0
201 132 0
201 133 0
134 202 0
201 135 0
201 136 0
201 137 0
138 202 0
201 139 0
140 202 0
201 141 0
201 142 0
201 143 0
144 202 0
201 145 0
146 202 0
147 202 0
201 148 0
201 149 0
201 150 0
151 202 0
152 202 0
201 153 0
154 202 0
201 155 0
156 202 0
157 202 0
201 158 0
159 202 0
201 160 0
161 202 0
201 162 0
163 202 0
164 202 0
201 165 0
201 166 0
167 202 0
168 202 0
201 169 0
201 170 0
201 171 0
201 172 0
201 173 0
174 202 0
175 202 0
201 176 0
201 177 0
201 178 0
179 202 0
201 180 0
181 202 0
182 202 0
183 202 0
201 184 0
201 185 0
201 186 0
201 187 0
188 202 0
201 189 0
190 202 0
191 202 0
192 202 0
201 193 0
194 202 0
195 202 0
201 196 0
197 202 0
198 202 0
199 202 0
200 202 0
201 202

Output:
Max-flow: 35
Max-flow is verified
Min-cost max-flow: -191038
