2002 7000
2001 1 0
1 1843 -7125
1 1106 -1108
1 1208 -7799
1 1707 -5805
2001 2 0
2 1601 -8376
2 1722 -1772
2 1308 -7941
2 1480 -1185
2001 3 0
3 1614 -164
3 1702 -6152
3 1727 -5011
3 1701 -3410
2001 4 0
4 1282 -3520
4 1039 -9033
4 1432 -46
4 1755 -4573
4 1027 -38
4 1878 -5307
4 1840 -2493
4 1640 -6909
2001 5 0
5 1082 -76
5 1307 -4859
5 1162 -5238
5 1774 -1960
5 1709 -767
5 1559 -3392
2001 6 0
6 1884 -3826
6 1413 -4283
6 1036 -7617
2001 7 0
7 1329 -4065
7 1455 -6013
7 1012 -6393
7 1779 -869
7 1982 -6035
2001 8 0
8 1846 -2348
8 1109 -8274
8 1616 -9587
8 1046 -6209
2001 9 0
9 1195 -2412
9 1812 -7314
9 1888 -6182
9 1023 -1775
9 1779 -7537
9 1691 -1228
9 1628 -4178
9 1923 -5477
9 1955 -1813
9 1562 -753
2001 10 0
10 1287 -7954
10 1826 -5688
10 1556 -9555
10 1253 -3319
10 1323 -9755
2001 11 0
11 1502 -1402
11 1910 -4035
11 1965 -6981
2001 12 0
12 1330 -7257
12 1903 -3740
12 1744 -5290
12 1827 -3136
12 1529 -2502
2001 13 0
13 1004 -7775
13 1318 -1636
13 1851 -6121
2001 14 0
14 1586 -6408
14 1087 -1485
2001 15 0
15 1714 -9164
15 1276 -9712
15 1702 -2071
15 1467 -7307
15 1737 -3270
2001 16 0
16 1680 -7577
16 1134 -6058
16 1301 -4674
16 1366 -2266
2001 17 0
17 1637 -3210
17 1339 -5064
2001 18 0
18 1704 -7530
18 1131 -4668
18 1738 -1787
2001 19 0
19 1691 -1295
19 1901 -7074
19 1818 -6272
2001 20 0
20 1423 -1553
20 1797 -2234
20 1286 -550
20 1676 -744
20 1029 -5262
2001 21 0
21 1224 -3207
21 1397 -6582
21 1773 -7616
21 1705 -7520
21 1216 -5788
2001 22 0
22 1012 -4295
22 1928 -535
22 1133 -5180
22 1601 -329
2001 23 0
23 1920 -3414
23 1042 -5776
23 1220 -5701
23 1235 -6192
2001 24 0
24 1811 -3735
24 1265 -2734
2001 25 0
25 1421 -3913
25 1167 -968
2001 26 0
26 1810 -4221
26 1369 -9130
26 1346 -4427
2001 27 0
27 1838 -996
27 1475 -9146
27 1818 -3892
27 1119 -4309
27 1932 -4476
2001 28 0
28 1892 -4889
28 1281 -613
28 1296 -1116
28 1546 -7690
28 1236 -6789
28 1605 -5045
28 1409 -111
28 1530 -3804
28 1927 -6500
2001 29 0
29 1056 -3706
29 1147 -4540
29 1282 -7079
29 1241 -1062
29 1908 -6545
29 1037 -585
29 1756 -8178
29 1381 -6623
2001 30 0
30 1880 -9811
30 1174 -3502
2001 31 0
31 1884 -3461
31 1331 -6616
31 1908 -5786
31 1172 -589
31 1186 -3899
31 1698 -2686
2001 32 0
32 1958 -542
32 1237 -5203
32 1345 -2637
32 1553 -7746
32 1536 -5479
32 1571 -8053
32 1291 -3562
32 1470 -2971
32 1143 -3297
32 1551 -265
2001 33 0
33 1768 -6314
33 1192 -3373
33 1391 -915
33 1294 -428
33 1832 -3015
33 1630 -9591
33 1589 -1650
33 1311 -618
2001 34 0
34 1097 -7539
34 1725 -2184
34 1756 -8604
34 1298 -3618
34 1023 -5655
34 1859 -43
34 1714 -1200
34 1213 -9607
34 1704 -8084
34 1208 -4162
2001 35 0
35 1092 -4792
35 1202 -9734
2001 36 0
36 1263 -9398
36 1973 -6998
36 1757 -9861
2001 37 0
37 1250 -7198
2001 38 0
38 1494 -1735
38 1407 -7504
38 1267 -8758
38 1239 -6599
38 1105 -913
38 1245 -9217
38 1173 -827
38 1276 -7991
38 1150 -2980
38 1302 -2331
38 1233 -5607
2001 39 0
39 1007 -3129
39 1871 -7555
39 1572 -210
39 1073 -1466
2001 40 0
40 1861 -3741
